delay,freq,condition,textbox.text,,,,Average,,,
0.1,1000,exp,100,,,exp.s,144.0526316,,,
0.1,1000,exp,80,,,exp.m,250.4895833,,unexp.s-exp.s,207.9786184
0.1,1000,exp,90,,,exp.l,420.6382979,,unexp.m-exp.m,147.8854167
0.1,1000,exp,100,,,unexp.s,352.03125,,unexp.l-unexp.l,122.3304521
0.1,1000,exp,140,,,unexp.m,398.375,,,
0.1,1000,exp,100,,,unexp.l,542.96875,,,
0.1,1000,exp,120,,,,,,,
0.1,1000,exp,50,,,,,,,
0.1,1000,exp,120,,,,,,,
0.1,1000,exp,80,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,215,,,,,,,
0.1,1000,exp,120,,,,,,,
0.1,1000,exp,160,,,,,,,
0.1,1000,exp,160,,,,,,,
0.1,1000,exp,250,,,,,,,
0.1,1000,exp,200,,,,,,,
0.1,1000,exp,110,,,,,,,
0.1,1000,exp,70,,,,,,,
0.1,1000,exp,90,,,,,,,
0.1,1000,exp,50,,,,,,,
0.1,1000,exp,60,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,50,,,,,,,
0.1,1000,exp,70,,,,,,,
0.1,1000,exp,60,,,,,,,
0.1,1000,exp,220,,,,,,,
0.1,1000,exp,70,,,,,,,
0.1,1000,exp,80,,,,,,,
0.1,1000,exp,120,,,,,,,
0.1,1000,exp,70,,,,,,,
0.1,1000,exp,110,,,,,,,
0.1,1000,exp,410,,,,,,,
0.1,1000,exp,120,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,120,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,120,,,,,,,
0.1,1000,exp,120,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,130,,,,,,,
0.1,1000,exp,170,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,335,,,,,,,
0.1,1000,exp,330,,,,,,,
0.1,1000,exp,120,,,,,,,
0.1,1000,exp,125,,,,,,,
0.1,1000,exp,400,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,90,,,,,,,
0.1,1000,exp,120,,,,,,,
0.1,1000,exp,190,,,,,,,
0.1,1000,exp,130,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,70,,,,,,,
0.1,1000,exp,210,,,,,,,
0.1,1000,exp,410,,,,,,,
0.1,1000,exp,120,,,,,,,
0.1,1000,exp,310,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,230,,,,,,,
0.1,1000,exp,210,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,95,,,,,,,
0.1,1000,exp,120,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,560,,,,,,,
0.1,1000,exp,520,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,120,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,140,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,170,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,150,,,,,,,
0.1,1000,exp,410,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,125,,,,,,,
0.1,1000,exp,100,,,,,,,
0.1,1000,exp,320,,,,,,,
0.1,1000,exp,70,,,,,,,
0.1,1000,exp,80,,,,,,,
0.1,400,unexp,350,,,,,,,
0.1,400,unexp,250,,,,,,,
0.1,400,unexp,270,,,,,,,
0.1,400,unexp,650,,,,,,,
0.1,400,unexp,310,,,,,,,
0.1,400,unexp,220,,,,,,,
0.1,400,unexp,270,,,,,,,
0.1,400,unexp,500,,,,,,,
0.1,400,unexp,400,,,,,,,
0.1,400,unexp,400,,,,,,,
0.1,400,unexp,340,,,,,,,
0.1,400,unexp,220,,,,,,,
0.1,400,unexp,340,,,,,,,
0.1,400,unexp,275,,,,,,,
0.1,400,unexp,350,,,,,,,
0.1,400,unexp,275,,,,,,,
0.1,400,unexp,400,,,,,,,
0.1,400,unexp,160,,,,,,,
0.1,400,unexp,210,,,,,,,
0.1,400,unexp,180,,,,,,,
0.1,400,unexp,190,,,,,,,
0.1,400,unexp,310,,,,,,,
0.1,400,unexp,300,,,,,,,
0.1,400,unexp,250,,,,,,,
0.1,400,unexp,700,,,,,,,
0.1,400,unexp,700,,,,,,,
0.1,400,unexp,620,,,,,,,
0.1,400,unexp,550,,,,,,,
0.1,400,unexp,400,,,,,,,
0.1,400,unexp,415,,,,,,,
0.1,400,unexp,210,,,,,,,
0.1,400,unexp,250,,,,,,,
0.4,1000,exp,100,,,,,,,
0.4,1000,exp,260,,,,,,,
0.4,1000,exp,200,,,,,,,
0.4,1000,exp,400,,,,,,,
0.4,1000,exp,120,,,,,,,
0.4,1000,exp,380,,,,,,,
0.4,1000,exp,700,,,,,,,
0.4,1000,exp,120,,,,,,,
0.4,1000,exp,360,,,,,,,
0.4,1000,exp,110,,,,,,,
0.4,1000,exp,720,,,,,,,
0.4,1000,exp,645,,,,,,,
0.4,1000,exp,123,,,,,,,
0.4,1000,exp,210,,,,,,,
0.4,1000,exp,120,,,,,,,
0.4,1000,exp,300,,,,,,,
0.4,1000,exp,140,,,,,,,
0.4,1000,exp,120,,,,,,,
0.4,1000,exp,90,,,,,,,
0.4,1000,exp,50,,,,,,,
0.4,1000,exp,50,,,,,,,
0.4,1000,exp,100,,,,,,,
0.4,1000,exp,310,,,,,,,
0.4,1000,exp,320,,,,,,,
0.4,1000,exp,450,,,,,,,
0.4,1000,exp,320,,,,,,,
0.4,1000,exp,250,,,,,,,
0.4,1000,exp,630,,,,,,,
0.4,1000,exp,120,,,,,,,
0.4,1000,exp,80,,,,,,,
0.4,1000,exp,140,,,,,,,
0.4,1000,exp,320,,,,,,,
0.4,1000,exp,430,,,,,,,
0.4,1000,exp,250,,,,,,,
0.4,1000,exp,330,,,,,,,
0.4,1000,exp,430,,,,,,,
0.4,1000,exp,90,,,,,,,
0.4,1000,exp,320,,,,,,,
0.4,1000,exp,430,,,,,,,
0.4,1000,exp,270,,,,,,,
0.4,1000,exp,190,,,,,,,
0.4,1000,exp,165,,,,,,,
0.4,1000,exp,100,,,,,,,
0.4,1000,exp,100,,,,,,,
0.4,1000,exp,410,,,,,,,
0.4,1000,exp,110,,,,,,,
0.4,1000,exp,100,,,,,,,
0.4,1000,exp,350,,,,,,,
0.4,1000,exp,350,,,,,,,
0.4,1000,exp,150,,,,,,,
0.4,1000,exp,210,,,,,,,
0.4,1000,exp,400,,,,,,,
0.4,1000,exp,400,,,,,,,
0.4,1000,exp,100,,,,,,,
0.4,1000,exp,95,,,,,,,
0.4,1000,exp,100,,,,,,,
0.4,1000,exp,460,,,,,,,
0.4,1000,exp,600,,,,,,,
0.4,1000,exp,100,,,,,,,
0.4,1000,exp,210,,,,,,,
0.4,1000,exp,540,,,,,,,
0.4,1000,exp,340,,,,,,,
0.4,1000,exp,510,,,,,,,
0.4,1000,exp,100,,,,,,,
0.4,1000,exp,175,,,,,,,
0.4,1000,exp,100,,,,,,,
0.4,1000,exp,300,,,,,,,
0.4,1000,exp,510,,,,,,,
0.4,1000,exp,400,,,,,,,
0.4,1000,exp,100,,,,,,,
0.4,1000,exp,220,,,,,,,
0.4,1000,exp,135,,,,,,,
0.4,1000,exp,340,,,,,,,
0.4,1000,exp,130,,,,,,,
0.4,1000,exp,510,,,,,,,
0.4,1000,exp,100,,,,,,,
0.4,1000,exp,100,,,,,,,
0.4,1000,exp,210,,,,,,,
0.4,1000,exp,410,,,,,,,
0.4,1000,exp,100,,,,,,,
0.4,1000,exp,310,,,,,,,
0.4,1000,exp,100,,,,,,,
0.4,1000,exp,100,,,,,,,
0.4,1000,exp,100,,,,,,,
0.4,1000,exp,149,,,,,,,
0.4,1000,exp,100,,,,,,,
0.4,1000,exp,120,,,,,,,
0.4,1000,exp,130,,,,,,,
0.4,1000,exp,410,,,,,,,
0.4,1000,exp,335,,,,,,,
0.4,1000,exp,155,,,,,,,
0.4,1000,exp,250,,,,,,,
0.4,1000,exp,135,,,,,,,
0.4,1000,exp,210,,,,,,,
0.4,1000,exp,400,,,,,,,
0.4,1000,exp,105,,,,,,,
0.4,400,unexp,400,,,,,,,
0.4,400,unexp,300,,,,,,,
0.4,400,unexp,330,,,,,,,
0.4,400,unexp,340,,,,,,,
0.4,400,unexp,310,,,,,,,
0.4,400,unexp,410,,,,,,,
0.4,400,unexp,310,,,,,,,
0.4,400,unexp,600,,,,,,,
0.4,400,unexp,320,,,,,,,
0.4,400,unexp,400,,,,,,,
0.4,400,unexp,430,,,,,,,
0.4,400,unexp,432,,,,,,,
0.4,400,unexp,350,,,,,,,
0.4,400,unexp,330,,,,,,,
0.4,400,unexp,410,,,,,,,
0.4,400,unexp,336,,,,,,,
0.4,400,unexp,410,,,,,,,
0.4,400,unexp,420,,,,,,,
0.4,400,unexp,310,,,,,,,
0.4,400,unexp,310,,,,,,,
0.4,400,unexp,400,,,,,,,
0.4,400,unexp,500,,,,,,,
0.4,400,unexp,400,,,,,,,
0.4,400,unexp,600,,,,,,,
0.4,400,unexp,410,,,,,,,
0.4,400,unexp,350,,,,,,,
0.4,400,unexp,310,,,,,,,
0.4,400,unexp,310,,,,,,,
0.4,400,unexp,410,,,,,,,
0.4,400,unexp,300,,,,,,,
0.4,400,unexp,600,,,,,,,
0.4,400,unexp,700,,,,,,,
0.7,1000,exp,600,,,,,,,
0.7,1000,exp,370,,,,,,,
0.7,1000,exp,300,,,,,,,
0.7,1000,exp,90,,,,,,,
0.7,1000,exp,400,,,,,,,
0.7,1000,exp,135,,,,,,,
0.7,1000,exp,250,,,,,,,
0.7,1000,exp,600,,,,,,,
0.7,1000,exp,650,,,,,,,
0.7,1000,exp,820,,,,,,,
0.7,1000,exp,550,,,,,,,
0.7,1000,exp,450,,,,,,,
0.7,1000,exp,550,,,,,,,
0.7,1000,exp,550,,,,,,,
0.7,1000,exp,400,,,,,,,
0.7,1000,exp,300,,,,,,,
0.7,1000,exp,700,,,,,,,
0.7,1000,exp,650,,,,,,,
0.7,1000,exp,530,,,,,,,
0.7,1000,exp,450,,,,,,,
0.7,1000,exp,120,,,,,,,
0.7,1000,exp,650,,,,,,,
0.7,1000,exp,550,,,,,,,
0.7,1000,exp,310,,,,,,,
0.7,1000,exp,650,,,,,,,
0.7,1000,exp,300,,,,,,,
0.7,1000,exp,530,,,,,,,
0.7,1000,exp,550,,,,,,,
0.7,1000,exp,625,,,,,,,
0.7,1000,exp,350,,,,,,,
0.7,1000,exp,420,,,,,,,
0.7,1000,exp,300,,,,,,,
0.7,1000,exp,710,,,,,,,
0.7,1000,exp,215,,,,,,,
0.7,1000,exp,760,,,,,,,
0.7,1000,exp,400,,,,,,,
0.7,1000,exp,250,,,,,,,
0.7,1000,exp,290,,,,,,,
0.7,1000,exp,340,,,,,,,
0.7,1000,exp,650,,,,,,,
0.7,1000,exp,650,,,,,,,
0.7,1000,exp,410,,,,,,,
0.7,1000,exp,130,,,,,,,
0.7,1000,exp,110,,,,,,,
0.7,1000,exp,710,,,,,,,
0.7,1000,exp,390,,,,,,,
0.7,1000,exp,510,,,,,,,
0.7,1000,exp,310,,,,,,,
0.7,1000,exp,800,,,,,,,
0.7,1000,exp,510,,,,,,,
0.7,1000,exp,270,,,,,,,
0.7,1000,exp,250,,,,,,,
0.7,1000,exp,610,,,,,,,
0.7,1000,exp,410,,,,,,,
0.7,1000,exp,210,,,,,,,
0.7,1000,exp,400,,,,,,,
0.7,1000,exp,590,,,,,,,
0.7,1000,exp,750,,,,,,,
0.7,1000,exp,340,,,,,,,
0.7,1000,exp,410,,,,,,,
0.7,1000,exp,350,,,,,,,
0.7,1000,exp,310,,,,,,,
0.7,1000,exp,690,,,,,,,
0.7,1000,exp,100,,,,,,,
0.7,1000,exp,710,,,,,,,
0.7,1000,exp,710,,,,,,,
0.7,1000,exp,710,,,,,,,
0.7,1000,exp,530,,,,,,,
0.7,1000,exp,470,,,,,,,
0.7,1000,exp,510,,,,,,,
0.7,1000,exp,150,,,,,,,
0.7,1000,exp,700,,,,,,,
0.7,1000,exp,310,,,,,,,
0.7,1000,exp,120,,,,,,,
0.7,1000,exp,130,,,,,,,
0.7,1000,exp,210,,,,,,,
0.7,1000,exp,130,,,,,,,
0.7,1000,exp,720,,,,,,,
0.7,1000,exp,100,,,,,,,
0.7,1000,exp,400,,,,,,,
0.7,1000,exp,500,,,,,,,
0.7,1000,exp,100,,,,,,,
0.7,1000,exp,160,,,,,,,
0.7,1000,exp,510,,,,,,,
0.7,1000,exp,230,,,,,,,
0.7,1000,exp,100,,,,,,,
0.7,1000,exp,100,,,,,,,
0.7,1000,exp,660,,,,,,,
0.7,1000,exp,700,,,,,,,
0.7,1000,exp,385,,,,,,,
0.7,1000,exp,100,,,,,,,
0.7,1000,exp,120,,,,,,,
0.7,1000,exp,400,,,,,,,
0.7,1000,exp,330,,,,,,,
0.7,400,unexp,550,,,,,,,
0.7,400,unexp,550,,,,,,,
0.7,400,unexp,550,,,,,,,
0.7,400,unexp,600,,,,,,,
0.7,400,unexp,320,,,,,,,
0.7,400,unexp,910,,,,,,,
0.7,400,unexp,700,,,,,,,
0.7,400,unexp,800,,,,,,,
0.7,400,unexp,700,,,,,,,
0.7,400,unexp,800,,,,,,,
0.7,400,unexp,200,,,,,,,
0.7,400,unexp,450,,,,,,,
0.7,400,unexp,600,,,,,,,
0.7,400,unexp,610,,,,,,,
0.7,400,unexp,570,,,,,,,
0.7,400,unexp,810,,,,,,,
0.7,400,unexp,410,,,,,,,
0.7,400,unexp,790,,,,,,,
0.7,400,unexp,850,,,,,,,
0.7,400,unexp,760,,,,,,,
0.7,400,unexp,710,,,,,,,
0.7,400,unexp,400,,,,,,,
0.7,400,unexp,250,,,,,,,
0.7,400,unexp,400,,,,,,,
0.7,400,unexp,210,,,,,,,
0.7,400,unexp,410,,,,,,,
0.7,400,unexp,700,,,,,,,
0.7,400,unexp,210,,,,,,,
0.7,400,unexp,230,,,,,,,
0.7,400,unexp,700,,,,,,,
0.7,400,unexp,225,,,,,,,
0.7,400,unexp,400,,,,,,,
